,elevation,flight,iteration,band,accuracy,image_processing
0,50,pre-sunrise,1,RGB-LWIR,0.0,Yes
1,100,pre-sunrise,1,RGB-LWIR,0.999,Yes
2,150,pre-sunrise,1,RGB-LWIR,0.505,Yes
3,200,pre-sunrise,1,RGB-LWIR,0.291,Yes
4,250,pre-sunrise,1,RGB-LWIR,0.0,Yes
5,300,pre-sunrise,1,RGB-LWIR,0.13,Yes
6,350,pre-sunrise,1,RGB-LWIR,0.055,Yes
7,400,pre-sunrise,1,RGB-LWIR,0.0,Yes
8,50,post-sunrise,1,RGB-LWIR,1.0,Yes
9,100,post-sunrise,1,RGB-LWIR,1.0,Yes
10,150,post-sunrise,1,RGB-LWIR,1.0,Yes
11,200,post-sunrise,1,RGB-LWIR,0.543,Yes
12,250,post-sunrise,1,RGB-LWIR,0.612,Yes
13,300,post-sunrise,1,RGB-LWIR,0.472,Yes
14,350,post-sunrise,1,RGB-LWIR,0.13,Yes
15,400,post-sunrise,1,RGB-LWIR,0.265,Yes
16,50,noon,1,RGB-LWIR,0.459,Yes
17,100,noon,1,RGB-LWIR,0.838,Yes
18,150,noon,1,RGB-LWIR,0.871,Yes
19,200,noon,1,RGB-LWIR,0.938,Yes
20,250,noon,1,RGB-LWIR,0.529,Yes
21,300,noon,1,RGB-LWIR,0.324,Yes
22,350,noon,1,RGB-LWIR,0.715,Yes
23,400,noon,1,RGB-LWIR,0.476,Yes
24,50,pre-sunset,1,RGB-LWIR,0.783,Yes
25,100,pre-sunset,1,RGB-LWIR,0.894,Yes
26,150,pre-sunset,1,RGB-LWIR,0.872,Yes
27,200,pre-sunset,1,RGB-LWIR,0.76,Yes
28,250,pre-sunset,1,RGB-LWIR,0.582,Yes
29,300,pre-sunset,1,RGB-LWIR,0.672,Yes
30,350,pre-sunset,1,RGB-LWIR,0.421,Yes
31,400,pre-sunset,1,RGB-LWIR,0.46,Yes
32,50,post-sunset,1,RGB-LWIR,0.832,Yes
33,100,post-sunset,1,RGB-LWIR,1.0,Yes
34,150,post-sunset,1,RGB-LWIR,0.505,Yes
35,200,post-sunset,1,RGB-LWIR,0.772,Yes
36,250,post-sunset,1,RGB-LWIR,0.463,Yes
37,300,post-sunset,1,RGB-LWIR,0.265,Yes
38,350,post-sunset,1,RGB-LWIR,0.19,Yes
39,400,post-sunset,1,RGB-LWIR,0.155,Yes
40,50,pre-sunrise,2,RGB-LWIR,0.505,Yes
41,100,pre-sunrise,2,RGB-LWIR,0.805,Yes
42,150,pre-sunrise,2,RGB-LWIR,1.0,Yes
43,200,pre-sunrise,2,RGB-LWIR,0.291,Yes
44,250,pre-sunrise,2,RGB-LWIR,0.0,Yes
45,300,pre-sunrise,2,RGB-LWIR,0.0,Yes
46,350,pre-sunrise,2,RGB-LWIR,0.055,Yes
47,400,pre-sunrise,2,RGB-LWIR,0.0,Yes
48,50,post-sunrise,2,RGB-LWIR,0.998,Yes
49,100,post-sunrise,2,RGB-LWIR,0.505,Yes
50,150,post-sunrise,2,RGB-LWIR,0.672,Yes
51,200,post-sunrise,2,RGB-LWIR,0.626,Yes
52,250,post-sunrise,2,RGB-LWIR,0.672,Yes
53,300,post-sunrise,2,RGB-LWIR,0.472,Yes
54,350,post-sunrise,2,RGB-LWIR,0.0,Yes
55,400,post-sunrise,2,RGB-LWIR,0.338,Yes
56,50,noon,2,RGB-LWIR,0.705,Yes
57,100,noon,2,RGB-LWIR,0.755,Yes
58,150,noon,2,RGB-LWIR,0.905,Yes
59,200,noon,2,RGB-LWIR,0.944,Yes
60,250,noon,2,RGB-LWIR,0.575,Yes
61,300,noon,2,RGB-LWIR,0.562,Yes
62,350,noon,2,RGB-LWIR,0.858,Yes
63,400,noon,2,RGB-LWIR,0.277,Yes
64,50,pre-sunset,2,RGB-LWIR,0.738,Yes
65,100,pre-sunset,2,RGB-LWIR,0.829,Yes
66,150,pre-sunset,2,RGB-LWIR,0.872,Yes
67,200,pre-sunset,2,RGB-LWIR,0.786,Yes
68,250,pre-sunset,2,RGB-LWIR,0.66,Yes
69,300,pre-sunset,2,RGB-LWIR,0.584,Yes
70,350,pre-sunset,2,RGB-LWIR,0.439,Yes
71,400,pre-sunset,2,RGB-LWIR,0.46,Yes
72,50,post-sunset,2,RGB-LWIR,0.805,Yes
73,100,post-sunset,2,RGB-LWIR,1.0,Yes
74,150,post-sunset,2,RGB-LWIR,1.0,Yes
75,200,post-sunset,2,RGB-LWIR,0.557,Yes
76,250,post-sunset,2,RGB-LWIR,0.068,Yes
77,300,post-sunset,2,RGB-LWIR,0.449,Yes
78,350,post-sunset,2,RGB-LWIR,0.19,Yes
79,400,post-sunset,2,RGB-LWIR,0.232,Yes
80,50,pre-sunrise,3,RGB-LWIR,0.669,Yes
81,100,pre-sunrise,3,RGB-LWIR,0.805,Yes
82,150,pre-sunrise,3,RGB-LWIR,1.0,Yes
83,200,pre-sunrise,3,RGB-LWIR,0.291,Yes
84,250,pre-sunrise,3,RGB-LWIR,0.0,Yes
85,300,pre-sunrise,3,RGB-LWIR,0.048,Yes
86,350,pre-sunrise,3,RGB-LWIR,0.0,Yes
87,400,pre-sunrise,3,RGB-LWIR,0.0,Yes
88,50,post-sunrise,3,RGB-LWIR,1.0,Yes
89,100,post-sunrise,3,RGB-LWIR,0.999,Yes
90,150,post-sunrise,3,RGB-LWIR,0.672,Yes
91,200,post-sunrise,3,RGB-LWIR,0.831,Yes
