,elevation,flight,iteration,band,accuracy
0,50.0,pre-sunrise,1.0,RGB-LWIR_IP,0.0
1,100.0,pre-sunrise,1.0,RGB-LWIR_IP,0.999
2,150.0,pre-sunrise,1.0,RGB-LWIR_IP,0.505
3,200.0,pre-sunrise,1.0,RGB-LWIR_IP,0.291
4,250.0,pre-sunrise,1.0,RGB-LWIR_IP,0.0
5,300.0,pre-sunrise,1.0,RGB-LWIR_IP,0.13
6,350.0,pre-sunrise,1.0,RGB-LWIR_IP,0.055
7,400.0,pre-sunrise,1.0,RGB-LWIR_IP,0.0
8,50.0,post-sunrise,1.0,RGB-LWIR_IP,1.0
9,100.0,post-sunrise,1.0,RGB-LWIR_IP,1.0
10,150.0,post-sunrise,1.0,RGB-LWIR_IP,1.0
11,200.0,post-sunrise,1.0,RGB-LWIR_IP,0.543
12,250.0,post-sunrise,1.0,RGB-LWIR_IP,0.612
13,300.0,post-sunrise,1.0,RGB-LWIR_IP,0.472
14,350.0,post-sunrise,1.0,RGB-LWIR_IP,0.13
15,400.0,post-sunrise,1.0,RGB-LWIR_IP,0.265
16,50.0,noon,1.0,RGB-LWIR_IP,0.459
17,100.0,noon,1.0,RGB-LWIR_IP,0.838
18,150.0,noon,1.0,RGB-LWIR_IP,0.871
19,200.0,noon,1.0,RGB-LWIR_IP,0.938
20,250.0,noon,1.0,RGB-LWIR_IP,0.529
21,300.0,noon,1.0,RGB-LWIR_IP,0.324
22,350.0,noon,1.0,RGB-LWIR_IP,0.715
23,400.0,noon,1.0,RGB-LWIR_IP,0.476
24,50.0,pre-sunset,1.0,RGB-LWIR_IP,0.783
25,100.0,pre-sunset,1.0,RGB-LWIR_IP,0.894
26,150.0,pre-sunset,1.0,RGB-LWIR_IP,0.872
27,200.0,pre-sunset,1.0,RGB-LWIR_IP,0.76
28,250.0,pre-sunset,1.0,RGB-LWIR_IP,0.582
29,300.0,pre-sunset,1.0,RGB-LWIR_IP,0.672
30,350.0,pre-sunset,1.0,RGB-LWIR_IP,0.421
31,400.0,pre-sunset,1.0,RGB-LWIR_IP,0.46
32,50.0,post-sunset,1.0,RGB-LWIR_IP,0.832
33,100.0,post-sunset,1.0,RGB-LWIR_IP,1.0
34,150.0,post-sunset,1.0,RGB-LWIR_IP,0.505
35,200.0,post-sunset,1.0,RGB-LWIR_IP,0.772
36,250.0,post-sunset,1.0,RGB-LWIR_IP,0.463
37,300.0,post-sunset,1.0,RGB-LWIR_IP,0.265
38,350.0,post-sunset,1.0,RGB-LWIR_IP,0.19
39,400.0,post-sunset,1.0,RGB-LWIR_IP,0.155
40,50.0,pre-sunrise,2.0,RGB-LWIR_IP,0.505
41,100.0,pre-sunrise,2.0,RGB-LWIR_IP,0.805
42,150.0,pre-sunrise,2.0,RGB-LWIR_IP,1.0
43,200.0,pre-sunrise,2.0,RGB-LWIR_IP,0.291
44,250.0,pre-sunrise,2.0,RGB-LWIR_IP,0.0
45,300.0,pre-sunrise,2.0,RGB-LWIR_IP,0.0
46,350.0,pre-sunrise,2.0,RGB-LWIR_IP,0.055
47,400.0,pre-sunrise,2.0,RGB-LWIR_IP,0.0
48,50.0,post-sunrise,2.0,RGB-LWIR_IP,0.998
49,100.0,post-sunrise,2.0,RGB-LWIR_IP,0.505
50,150.0,post-sunrise,2.0,RGB-LWIR_IP,0.672
51,200.0,post-sunrise,2.0,RGB-LWIR_IP,0.626
52,250.0,post-sunrise,2.0,RGB-LWIR_IP,0.672
53,300.0,post-sunrise,2.0,RGB-LWIR_IP,0.472
54,350.0,post-sunrise,2.0,RGB-LWIR_IP,0.0
55,400.0,post-sunrise,2.0,RGB-LWIR_IP,0.338
56,50.0,noon,2.0,RGB-LWIR_IP,0.705
57,100.0,noon,2.0,RGB-LWIR_IP,0.755
58,150.0,noon,2.0,RGB-LWIR_IP,0.905
59,200.0,noon,2.0,RGB-LWIR_IP,0.944
60,250.0,noon,2.0,RGB-LWIR_IP,0.575
61,300.0,noon,2.0,RGB-LWIR_IP,0.562
62,350.0,noon,2.0,RGB-LWIR_IP,0.858
63,400.0,noon,2.0,RGB-LWIR_IP,0.277
64,50.0,pre-sunset,2.0,RGB-LWIR_IP,0.738
65,100.0,pre-sunset,2.0,RGB-LWIR_IP,0.829
66,150.0,pre-sunset,2.0,RGB-LWIR_IP,0.872
67,200.0,pre-sunset,2.0,RGB-LWIR_IP,0.786
68,250.0,pre-sunset,2.0,RGB-LWIR_IP,0.66
69,300.0,pre-sunset,2.0,RGB-LWIR_IP,0.584
70,350.0,pre-sunset,2.0,RGB-LWIR_IP,0.439
71,400.0,pre-sunset,2.0,RGB-LWIR_IP,0.46
72,50.0,post-sunset,2.0,RGB-LWIR_IP,0.805
73,100.0,post-sunset,2.0,RGB-LWIR_IP,1.0
74,150.0,post-sunset,2.0,RGB-LWIR_IP,1.0
75,200.0,post-sunset,2.0,RGB-LWIR_IP,0.557
76,250.0,post-sunset,2.0,RGB-LWIR_IP,0.068
77,300.0,post-sunset,2.0,RGB-LWIR_IP,0.449
78,350.0,post-sunset,2.0,RGB-LWIR_IP,0.19
79,400.0,post-sunset,2.0,RGB-LWIR_IP,0.232
80,50.0,pre-sunrise,3.0,RGB-LWIR_IP,0.669
81,100.0,pre-sunrise,3.0,RGB-LWIR_IP,0.805
82,150.0,pre-sunrise,3.0,RGB-LWIR_IP,1.0
83,200.0,pre-sunrise,3.0,RGB-LWIR_IP,0.291
84,250.0,pre-sunrise,3.0,RGB-LWIR_IP,0.0
85,300.0,pre-sunrise,3.0,RGB-LWIR_IP,0.048
86,350.0,pre-sunrise,3.0,RGB-LWIR_IP,0.0
87,400.0,pre-sunrise,3.0,RGB-LWIR_IP,0.0
88,50.0,post-sunrise,3.0,RGB-LWIR_IP,1.0
89,100.0,post-sunrise,3.0,RGB-LWIR_IP,0.999
90,150.0,post-sunrise,3.0,RGB-LWIR_IP,0.672
91,200.0,post-sunrise,3.0,RGB-LWIR_IP,0.831
92,250.0,post-sunrise,3.0,RGB-LWIR_IP,0.52
93,300.0,post-sunrise,3.0,RGB-LWIR_IP,0.914
94,350.0,post-sunrise,3.0,RGB-LWIR_IP,0.353
95,400.0,post-sunrise,3.0,RGB-LWIR_IP,0.328
96,50.0,noon,3.0,RGB-LWIR_IP,0.605
97,100.0,noon,3.0,RGB-LWIR_IP,1.0
98,150.0,noon,3.0,RGB-LWIR_IP,0.593
99,200.0,noon,3.0,RGB-LWIR_IP,0.944
100,250.0,noon,3.0,RGB-LWIR_IP,0.586
101,300.0,noon,3.0,RGB-LWIR_IP,0.562
102,350.0,noon,3.0,RGB-LWIR_IP,0.356
103,400.0,noon,3.0,RGB-LWIR_IP,0.193
104,50.0,pre-sunset,3.0,RGB-LWIR_IP,0.738
105,100.0,pre-sunset,3.0,RGB-LWIR_IP,0.868
106,150.0,pre-sunset,3.0,RGB-LWIR_IP,0.898
107,200.0,pre-sunset,3.0,RGB-LWIR_IP,0.708
108,250.0,pre-sunset,3.0,RGB-LWIR_IP,0.732
109,300.0,pre-sunset,3.0,RGB-LWIR_IP,0.605
110,350.0,pre-sunset,3.0,RGB-LWIR_IP,0.439
111,400.0,pre-sunset,3.0,RGB-LWIR_IP,0.339
112,50.0,post-sunset,3.0,RGB-LWIR_IP,1.0
113,100.0,post-sunset,3.0,RGB-LWIR_IP,0.999
114,150.0,post-sunset,3.0,RGB-LWIR_IP,0.616
115,200.0,post-sunset,3.0,RGB-LWIR_IP,0.291
116,250.0,post-sunset,3.0,RGB-LWIR_IP,0.875
117,300.0,post-sunset,3.0,RGB-LWIR_IP,0.239
118,350.0,post-sunset,3.0,RGB-LWIR_IP,0.109
119,400.0,post-sunset,3.0,RGB-LWIR_IP,0.183
120,50.0,pre-sunrise,4.0,RGB-LWIR_IP,0.998
121,100.0,pre-sunrise,4.0,RGB-LWIR_IP,0.605
122,150.0,pre-sunrise,4.0,RGB-LWIR_IP,0.13
123,200.0,pre-sunrise,4.0,RGB-LWIR_IP,0.0
124,250.0,pre-sunrise,4.0,RGB-LWIR_IP,0.0
125,300.0,pre-sunrise,4.0,RGB-LWIR_IP,0.19
126,350.0,pre-sunrise,4.0,RGB-LWIR_IP,0.0
127,400.0,pre-sunrise,4.0,RGB-LWIR_IP,0.0
128,50.0,post-sunrise,4.0,RGB-LWIR_IP,1.0
129,100.0,post-sunrise,4.0,RGB-LWIR_IP,1.0
130,150.0,post-sunrise,4.0,RGB-LWIR_IP,0.755
131,200.0,post-sunrise,4.0,RGB-LWIR_IP,0.831
132,250.0,post-sunrise,4.0,RGB-LWIR_IP,0.755
133,300.0,post-sunrise,4.0,RGB-LWIR_IP,0.862
134,350.0,post-sunrise,4.0,RGB-LWIR_IP,0.205
135,400.0,post-sunrise,4.0,RGB-LWIR_IP,0.277
136,50.0,noon,4.0,RGB-LWIR_IP,0.605
137,100.0,noon,4.0,RGB-LWIR_IP,0.914
138,150.0,noon,4.0,RGB-LWIR_IP,0.851
139,200.0,noon,4.0,RGB-LWIR_IP,0.913
